,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,55.4,54,40,16.11,CL,1610116747
1,sao filipe,14.8961,-24.4956,75.6,77,2,16.26,CV,1610116747
2,castro,-24.7911,-50.0119,75.04,81,39,4.72,BR,1610116747
3,qaanaaq,77.484,-69.3632,-3.8,87,100,13.6,GL,1610116747
4,port alfred,-33.5906,26.891,75.99,82,65,1.99,ZA,1610116565
5,rikitea,-23.1203,-134.9692,78.33,73,100,6.33,PF,1610116747
6,butaritari,3.0707,172.7902,80.44,83,100,18.34,KI,1610116747
7,dunedin,-45.8742,170.5036,53.01,78,100,1.99,NZ,1610116747
8,mataura,-46.1927,168.8643,55.0,77,81,10.0,NZ,1610116747
9,bellevue,47.6104,-122.2007,46.4,87,90,3.44,US,1610116531
10,mpika,-11.8343,31.4529,72.54,88,100,2.77,ZM,1610116747
11,albany,42.6001,-73.9662,23.0,77,17,5.01,US,1610116515
12,palmer,42.1584,-72.3287,27.0,78,0,1.01,US,1610116748
13,buala,-8.145,159.5921,80.04,76,100,3.13,SB,1610116748
14,kapaa,22.0752,-159.319,64.4,94,1,9.22,US,1610116748
15,hithadhoo,-0.6,73.0833,83.08,78,100,15.66,MV,1610116748
16,kahului,20.8947,-156.47,66.0,77,1,4.61,US,1610116748
17,lorengau,-2.0226,147.2712,82.13,77,100,7.16,PG,1610116748
18,haines junction,60.7522,-137.5108,8.67,91,98,2.55,CA,1610116748
19,inongo,-1.95,18.2667,77.68,76,92,0.56,CD,1610116748
20,fairbanks,64.8378,-147.7164,10.4,72,75,3.44,US,1610116512
21,tura,25.5198,90.2201,63.79,64,0,3.94,IN,1610116748
22,carnarvon,-24.8667,113.6333,86.0,58,90,13.8,AU,1610116510
23,hambantota,6.1241,81.1185,78.8,100,20,2.3,LK,1610116748
24,bathsheba,13.2167,-59.5167,84.2,65,40,20.71,BB,1610116749
25,jamestown,42.097,-79.2353,24.01,93,90,9.22,US,1610116499
26,tasiilaq,65.6145,-37.6368,15.8,57,1,11.5,GL,1610116749
27,yaita,36.8,139.9333,27.0,43,24,2.48,JP,1610116749
28,hobart,-42.8794,147.3294,59.0,77,90,4.61,AU,1610116525
29,new norfolk,-42.7826,147.0587,59.0,77,90,4.61,AU,1610116749
30,mount gambier,-37.8333,140.7667,53.6,94,0,5.75,AU,1610116749
31,cape town,-33.9258,18.4232,77.0,53,0,28.77,ZA,1610116566
32,hami,42.8,93.45,11.39,66,100,1.63,CN,1610116749
33,ocos,14.5094,-92.1933,77.0,100,40,4.14,GT,1610116750
34,bethel,41.3712,-73.414,27.0,74,1,3.44,US,1610116750
35,cabatuan,10.8794,122.486,75.13,91,88,11.32,PH,1610116750
36,dikson,73.5069,80.5464,-12.37,90,85,16.49,RU,1610116750
37,mar del plata,-38.0023,-57.5575,69.8,56,40,13.8,AR,1610116750
38,grand gaube,-20.0064,57.6608,80.01,76,14,8.99,MU,1610116750
39,hilo,19.7297,-155.09,64.4,68,1,6.91,US,1610116750
40,severo-kurilsk,50.6789,156.125,23.74,85,55,18.37,RU,1610116750
41,mahebourg,-20.4081,57.7,80.6,74,75,14.97,MU,1610116750
42,kodiak,57.79,-152.4072,35.6,87,90,14.97,US,1610116751
43,bilibino,68.0546,166.4372,-15.45,86,91,1.66,RU,1610116751
44,meulaboh,4.1363,96.1285,76.1,90,100,5.5,ID,1610116751
45,sun city west,33.662,-112.3413,42.8,52,20,3.44,US,1610116677
46,busselton,-33.65,115.3333,78.01,51,75,8.81,AU,1610116751
47,college,64.8569,-147.8028,10.4,72,75,3.44,US,1610116751
48,baoro,5.6667,15.9667,93.69,10,100,7.14,CF,1610116751
49,burgeo,47.6167,-57.6152,38.97,94,100,7.14,CA,1610116751
50,nikolskoye,59.7035,30.7861,21.99,79,75,8.95,RU,1610116751
51,codrington,-38.2667,141.9667,55.31,87,0,6.46,AU,1610116751
52,abalak,58.1286,68.5944,1.63,93,100,6.82,RU,1610116752
53,opuwo,-18.0607,13.84,80.82,45,100,2.37,NA,1610116752
54,cabo san lucas,22.8909,-109.9124,59.0,67,1,5.75,MX,1610116752
55,avarua,-21.2078,-159.775,75.2,88,14,2.3,CK,1610116752
56,bambous virieux,-20.3428,57.7575,80.6,74,75,14.97,MU,1610116752
57,atuona,-9.8,-139.0333,77.25,78,21,19.64,PF,1610116752
58,kavieng,-2.5744,150.7967,82.51,77,100,14.34,PG,1610116752
59,omagari,39.45,140.4833,20.3,97,100,2.64,JP,1610116752
60,khatanga,71.9667,102.5,-18.67,88,79,9.6,RU,1610116752
61,bengkulu,-3.8004,102.2655,77.27,86,100,3.69,ID,1610116752
62,hermanus,-34.4187,19.2345,81.0,52,0,5.99,ZA,1610116752
63,vaini,-21.2,-175.2,77.0,94,20,4.61,TO,1610116753
64,luderitz,-26.6481,15.1594,75.56,51,0,24.81,NA,1610116753
65,esperance,-33.8667,121.9,69.8,49,0,10.36,AU,1610116753
66,pisco,-13.7,-76.2167,73.4,73,0,6.91,PE,1610116753
67,kasempa,-13.4584,25.8338,73.09,87,100,4.18,ZM,1610116753
68,touros,-5.1989,-35.4608,87.8,58,40,18.41,BR,1610116753
69,riyadh,24.6877,46.7219,57.2,72,75,3.44,SA,1610116626
70,ponta do sol,32.6667,-17.1,52.0,73,35,5.99,PT,1610116753
71,campbellton,48.0075,-66.6727,23.0,68,96,12.66,CA,1610116753
72,gizo,-8.103,156.8419,83.08,75,99,10.51,SB,1610116753
73,bluff,-46.6,168.3333,55.0,77,87,10.0,NZ,1610116753
74,muli,2.9167,73.5667,82.9,73,100,6.46,MV,1610116753
75,constitucion,-35.3333,-72.4167,67.93,44,84,6.6,CL,1610116753
76,ushuaia,-54.8,-68.3,46.4,76,75,26.46,AR,1610116743
77,altoona,40.5187,-78.3947,24.01,91,100,4.32,US,1610116753
78,bud,39.447,-86.1758,30.99,80,100,11.16,US,1610116754
79,san quintin,30.4833,-115.95,56.8,75,0,10.69,MX,1610116754
80,mankono,8.0586,-6.1897,97.2,26,98,4.45,CI,1610116754
81,prince albert,53.2001,-105.7677,-4.0,77,75,6.06,CA,1610116754
82,conde,-7.2597,-34.9075,87.8,58,40,11.5,BR,1610116529
83,saint-georges,12.0564,-61.7485,86.0,66,40,21.85,GD,1610116754
84,tuktoyaktuk,69.4541,-133.0374,-2.2,84,1,6.91,CA,1610116754
